user_id,item_id
3690,356
4633,2414
4782,356
4633,1994
4633,2610
5105,2414
3630,356
5105,1994
267,3454
267,356
1048,2414
3690,2202
4633,3624
3690,1009
1048,400
1048,1994
4633,1622
2782,1534
4633,302
4139,2610
3046,400
5105,723
4367,356
5105,3624
1548,356
1701,356
5105,302
2379,2414
3690,2499
2291,1534
5626,1994
4367,3454
3887,2202
706,723
2291,2610
73,1322
3690,1704
2291,224
4633,1290
2782,1656
2379,1994
4432,2414
4633,400
4139,723
4633,704
1548,3454
2291,1656
4698,356
3721,400
5019,2499
1048,1622
4139,1290
2291,2414
4633,3589
5105,2594
4139,2723
2291,3434
2782,1919
3046,2610
3604,2414
5626,2414
2782,224
706,3624
3630,2202
123,400
73,433
1048,2610
5105,3564
5105,2859
267,433
2379,2610
1048,2723
38,356
2782,2755
5105,3130
4821,1009
73,1275
1048,1290
5626,2815
2782,1521
2291,1521
267,1514
3452,239
3235,2414
5626,1622
2782,1794
3046,239
2291,2859
4432,2610
4782,2202
4367,1514
3604,2610
2291,1994
5626,2610
5105,400
5064,1534
3235,2610
5019,1704
3887,1704
73,151
73,2323
3285,2414
4821,2202
5019,2202
4432,1994
3690,2644
2291,3624
3690,2734
4782,1009
5019,1009
73,3196
2782,2378
4749,1773
4782,2734
3690,1087
3630,1009
267,1704
3285,2610
73,3374
3630,1704
2782,2118
2583,2497
1432,356
4367,533
227,1773
5626,1290
2782,3434
73,3454
3358,356
706,3589
4367,433
73,3223
3285,302
3917,1528
4821,2734
5572,2497
38,1704
5626,239
1048,723
4139,2815
2379,1290
1701,3454
3721,838
3235,1994
2379,400
5626,302
3630,2734
3832,1534
3917,806
406,2082
3057,1919
3604,3624
1701,2499
1774,3454
1914,2323
5626,633
1914,1322
4432,723
5572,2052
3046,3624
3005,2610
2379,723
706,2859
352,356
706,1290
706,224
1755,2594
73,1936
3910,1521
5626,400
3917,2869
4432,3624
3721,3624
267,2202
3604,723
3235,224
3832,1656
2379,3589
1859,1528
3604,3564
3604,3445
4821,1704
2596,1773
1914,1936
4139,302
706,838
309,239
3005,2859
3630,1622
3185,3445
3005,2414
3285,2859
706,302
1548,1322
